Delivery_person_Age,Delivery_person_Ratings,Time_taken(min),distance
37,4.9,24,3.0251492856773803
34,4.5,33,20.18352972873287
23,4.4,26,1.5527578022553539
38,4.7,21,7.790401360105807
32,4.6,30,6.210137965623703
22,4.8,26,4.610365144356333
33,4.7,40,16.600361127913082
35,4.6,32,20.20525323529313
22,4.8,34,19.97552008622187
36,4.2,46,10.280582064622465
21,4.7,23,6.242318682700942
23,4.7,21,13.787860239172238
34,4.3,20,2.930257800762021
24,4.7,41,19.39661829066188
29,4.5,20,13.763977224427299
35,4.0,33,6.218001190187312
33,4.2,40,16.849939918016943
34,4.9,41,10.757108800258175
21,4.7,15,4.540574388730574
25,4.1,36,12.25607644546856
31,4.7,26,19.61873934880106
37,5.0,20,1.5581322655562497
33,4.3,39,20.18063511411397
25,4.0,34,6.116971669681921
29,4.5,15,17.075594401072465
27,5.0,18,4.47028648943395
35,4.3,38,13.682044526080338
32,4.0,47,13.97318265391717
23,4.8,12,16.85361872985407
31,4.8,26,4.674172124263596
36,4.1,22,7.601616771071131
26,4.3,21,7.720324413180035
38,4.9,25,6.1756362610176
32,3.5,35,17.29786575291325
32,4.6,30,19.91468696554527
33,4.9,22,10.724517748045963
20,4.7,10,6.127835452843913
20,4.8,19,1.5203573134015247
35,5.0,11,3.0734537599374083
26,4.9,11,3.10513147754577
22,4.8,28,10.86742683448041
35,4.3,33,10.865464603780305
29,4.6,33,12.236723616598821
37,4.7,52,13.682516298591963
28,4.6,22,16.826241648658563
37,4.9,16,3.0272369309751475
23,4.9,11,9.175193844437283
27,4.9,25,9.315069177421467
37,4.8,26,6.209021101535329
33,5.0,18,1.5203447277394997
31,4.9,16,6.037225392444489
31,4.8,23,17.078665498349924
25,5.0,15,4.717601092054723
28,4.8,36,12.464329297636855
31,4.7,16,9.12142598198074
24,4.7,19,14.02323208308413
39,4.6,27,13.392612276663753
39,4.2,49,12.58026782240096
32,4.5,20,1.4899271643867567
36,4.7,30,9.435201537430713
25,4.8,18,11.916582838287255
33,4.9,22,4.663566689152346
30,4.4,34,10.641157729337486
33,5.0,24,16.818368923733058
36,4.9,17,6.128551257918874
21,4.8,14,2.996250036666747
39,4.9,30,7.342175722857832
23,4.8,15,3.145067434621583
35,4.8,16,6.290134677634678
39,4.6,36,13.972123977178395
22,4.7,18,6.0814407970077005
32,4.6,17,6.080891507841841
24,4.8,15,12.58026782240096
29,4.7,17,3.145067434621583
29,4.6,19,6.210589610313767
26,4.7,10,9.220373067021596
20,4.5,27,7.8626681674103684
35,4.1,37,13.969606427684226
39,4.6,44,13.97320677313832
34,4.7,28,6.058853851668898
27,4.7,42,17.07799287216156
30,4.8,25,17.29786575291325
25,4.4,39,17.07287190639919
25,4.7,20,16.818368923733058
30,5.0,31,2.9795028505763823
24,4.6,13,9.22086597503729
39,4.8,28,7.66133113422064
25,4.8,19,6.175516093406556
37,4.6,42,12.209856560906877
24,5.0,23,1.5526813140975844
